name_en,name_jp,google_rating,google_reviews,tabelog_score,tabelog_reviews,tabelog_url,google_url,place_id
Naruse,成生,,0,4.6,363,https://tabelog.com/shizuoka/A2201/A220101/22037788/,https://maps.google.com/?cid=7889191381351458578&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJ_QjQMR1KGmAREueGOsMJfG0
Yoshii,吉い,,0,4.35,118,https://tabelog.com/aichi/A2301/A230104/23044914/,https://maps.google.com/?cid=4946522401860609325&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJN6BNYQBxA2ARLeVprOqTpUQ
Marushin,丸新,,0,4.04,327,https://tabelog.com/fukushima/A0702/A070201/7001521/,https://maps.google.com/?cid=13718403296352105747&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJbT71zpFsIGARE3WdZB2PYb4
Syn,Syn,,0,3.93,42,https://tabelog.com/fukuoka/A4001/A400105/40064406/,https://maps.google.com/?cid=12804586931354951400&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJNfZWPQKTQTUR6F4F8_gHs7E
sio,sio,,0,3.91,824,https://tabelog.com/tokyo/A1318/A131811/13150395/,https://maps.google.com/?cid=3615670354691082437&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJHUD2DkjzGGARxchF7AdxLTI
Hei Gorou Hon Ten,平五郎 本店,,0,3.84,461,https://tabelog.com/nagano/A2001/A200101/20015759/,https://maps.google.com/?cid=3147023060674975382&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJAeYW9eSGHWARlpZ-z8x4rCs
Sushi Shinosuke,鮨 志の助,,0,3.81,355,https://tabelog.com/ishikawa/A1701/A170101/17000173/,https://maps.google.com/?cid=14481454553027717829&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJF6-tWr00-F8RxSouoDB2-Mg
Oryori Shibuu,お料理 志ぶう,,0,3.76,37,https://tabelog.com/tokyo/A1301/A130101/13215411/,https://maps.google.com/?cid=12479357715852716366&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJAQAAwOaLGGARTmluXrmVL60
WINE Shokudo Ono,WINE食堂 緒乃,,0,3.76,170,https://tabelog.com/osaka/A2701/A270101/27124092/,https://maps.google.com/?cid=3842693433416155561&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJq6pOke3mAGARqQF_d1H9UzU
Katsuretsu Tei Shinshigai Honten,勝烈亭 新市街本店,,0,3.73,1557,https://tabelog.com/kumamoto/A4301/A430101/43000307/,https://maps.google.com/?cid=17757654111423387045&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJIw5Ry330QDURpVWli1Tcb_Y
Tempura Hirai,てんぷら ひら井,,0,3.73,77,https://tabelog.com/fukushima/A0701/A070101/7000216/,https://maps.google.com/?cid=3064607014125208007&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJOQkt14OIil8Rx4Eapderhyo
Yashima,やしま,,0,3.72,270,https://tabelog.com/tokyo/A1311/A131101/13024325/,https://maps.google.com/?cid=15501747587991022904&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJ_6coZO6PGGAROC35q0xFIdc
Mendo Kirinji,麺道 麒麟児,,0,3.71,646,https://tabelog.com/nagano/A2001/A200101/20017737/,https://maps.google.com/?cid=15269817253558706438&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJAV9E_4-DHWARBmF_n-NJ6dM
Tori Take,鳥たけ,,0,3.71,101,https://tabelog.com/ishikawa/A1701/A170101/17009295/,https://maps.google.com/?cid=7281762802150832871&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJa206lXEz-F8R53raKLAEDmU
Nagai,永井,,0,3.7,500,https://tabelog.com/saitama/A1103/A110302/11033420/,https://maps.google.com/?cid=13302344045716885570&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJoU6S7CXdGGARQtD8RG5rm7g
Gyoran Tei Hon Ten,ぎょらん亭 本店,,0,3.68,848,https://tabelog.com/fukuoka/A4004/A400401/40000363/,https://maps.google.com/?cid=8239288295126549779&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJyZwaf6jAQzURE0UNAQ3VV3I
Ichiyajo Yoroizuka Farm,一夜城 ヨロイヅカ・ファーム,,0,3.68,1017,https://tabelog.com/kanagawa/A1409/A140901/14043156/,https://maps.google.com/?cid=17305577807680564131&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJIz28EZukGWARo-uuw1PDKfA
Kise,喜瀬,,0,3.68,143,https://tabelog.com/okinawa/A4702/A470201/47011807/,https://maps.google.com/?cid=11301199115267412649&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJEeXqzUkA5TQRqRJ5Ebjs1Zw
Sumibi Yakiniku Ichiba Jejuya Hon Ten,炭火焼肉市場 済州家 本店,,0,3.68,142,https://tabelog.com/gunma/A1001/A100102/10001876/,https://maps.google.com/?cid=441109314827891370&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJST93j5mSHmARqrJusZUiHwY
Cafe Verdi,カフェ・ヴェルディ,,0,3.67,293,https://tabelog.com/kyoto/A2601/A260503/26003964/,https://maps.google.com/?cid=11540582685614956751&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJfYKi8xUIAWARz2Aa1c5iKKA
Rika Shokudo Tenma Honten,梨花食堂 天満本店,,0,3.67,493,https://tabelog.com/osaka/A2701/A270103/27004781/,https://maps.google.com/?cid=1423233585043146252&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJyWA0fsfmAGARDAbnrGdXwBM
Azuma,あづま,,0,3.66,231,https://tabelog.com/kagawa/A3701/A370101/37001224/,https://maps.google.com/?cid=1770275100610946879&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJo011RAbCUzURP2eiHtNHkRg
Tonkatsu Shokubo Atsumaru,とんかつ食房 厚○,,0,3.66,562,https://tabelog.com/aichi/A2301/A230114/23006270/,https://maps.google.com/?cid=15445530886781594342&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJf75V52FuA2AR5urw8YGMWdY
Omi Gyu Senmon Ten Restaurant Matsukiya Hon Ten,近江牛専門店 れすとらん 松喜屋 本店,,0,3.65,351,https://tabelog.com/shiga/A2501/A250101/25000784/,https://maps.google.com/?cid=6486745674081108834&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJTfsol6oSAWARYgPog9KMBVo
Kuku Hanare,くく はなれ,,0,3.64,116,https://tabelog.com/osaka/A2705/A270501/27128792/,https://maps.google.com/?cid=9763309994114403953&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJu6LHdQDdAGARcc41H7Y-foc
Shinra Kan Meito Honten,新羅館 名東本店,,0,3.57,423,https://tabelog.com/aichi/A2301/A230111/23000966/,https://maps.google.com/?cid=14235812407908177741&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJuVkHKwRlA2ARTRd33vXDj8U
Daruma,達磨,,0,3.56,154,https://tabelog.com/toyama/A1601/A160101/16000054/,https://maps.google.com/?cid=9541879671170255065&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJI4YnuTGQ918R2cifgQGRa4Q
LaLa Curry,ララカレーハママツ,,0,3.5,155,https://tabelog.com/shizuoka/A2202/A220201/22030476/,https://maps.google.com/?cid=10448428084437266455&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJY6UxC9XZGmARFzAZEvxFAJE
